Date,Open,High,Low,Close,Adj Close,Volume,Day
2015-06-16,61.09,61.849998,61.060001,61.700001,56.157223,660000,326
2015-06-17,61.700001,62.119999,61.669998,61.779999,56.23003,375900,327
2015-06-18,61.869999,62.09,61.529999,61.959999,56.39386,505100,328
2015-06-19,61.93,62.240002,61.830002,61.869999,56.311943,510900,329
2015-06-22,62,62.52,61.700001,62,56.430267,644900,330
2015-06-23,62.130001,63.240002,62.130001,63.23,57.549763,833400,331
2015-06-24,63.220001,63.330002,62.939999,63.099998,57.431446,357900,332
2015-06-25,63.23,63.369999,63.099998,63.32,57.63168,335400,333
2015-06-26,63.509998,63.91,63.23,63.75,58.02306,1506900,334
2015-06-29,63.119999,63.43,61.77,61.790001,56.239124,483600,335
2015-06-30,62.16,62.299999,61.529999,61.549999,56.020695,601700,336
2015-07-01,62.119999,62.529999,61.98,62.209999,56.621399,663200,337
2015-07-02,62.299999,62.369999,61.740002,62.02,56.448471,370400,338
2015-07-06,61.41,62.200001,61.349998,62.110001,56.530384,489200,339
2015-07-07,62.02,63,61.310001,62.91,57.258514,702700,340
2015-07-08,62.380001,62.490002,61.529999,61.689999,56.148106,762600,341
2015-07-09,62.360001,62.369999,61.830002,62.23,56.639595,596800,342
2015-07-10,62.919998,63.91,62.82,63.790001,58.05946,492600,343
2015-07-13,64.160004,64.489998,63.900002,64.139999,58.378017,416700,344
2015-07-14,64.239998,64.529999,64,64.510002,58.714779,776700,345
2015-07-15,64.629997,65.110001,64.510002,64.809998,58.987839,401000,346
2015-07-16,65.040001,66.339996,64.93,66.239998,60.289375,453500,347
2015-07-17,66.18,66.25,65.660004,66.019997,60.089127,386500,348
2015-07-20,65.980003,66.540001,65.949997,66.360001,60.39859,323300,349
2015-07-21,66.269997,66.529999,66.07,66.300003,60.34399,668100,350
2015-07-22,66.169998,66.57,66.169998,66.489998,60.516914,448900,351
2015-07-23,66.5,67.169998,66.379997,66.550003,60.571507,635600,352
2015-07-24,66.459999,67.239998,66.459999,66.889999,60.880985,554500,353
2015-07-27,66.349998,66.440002,65.540001,65.730003,59.825191,353900,354
2015-07-28,65.919998,66.25,65.419998,66,60.070934,525800,355
2015-07-29,65.980003,67.029999,65.699997,66.910004,60.899197,359600,356
2015-07-30,66.440002,68.379997,65.940002,67.970001,61.863968,495300,357
2015-07-31,68.360001,68.830002,68.080002,68.160004,62.036884,325000,358
2015-08-03,68.190002,68.339996,67.300003,67.540001,61.472599,433600,359
2015-08-04,67.82,68.169998,66.720001,66.959999,60.944683,728200,360
2015-08-05,67.379997,68.309998,66.43,67.599998,61.52721,993000,361
2015-08-06,67.589996,68.160004,66.199997,66.510002,60.535107,514600,362
2015-08-07,66.440002,66.639999,66.019997,66.220001,60.271168,338900,363
2015-08-10,66.800003,67.370003,66.410004,66.790001,60.789959,760100,364
2015-08-11,66.379997,66.379997,65.43,65.550003,59.661358,511200,365
2015-08-12,64.949997,65.059998,63.779999,63.950001,58.205101,956600,366
2015-08-13,63.830002,64,63.389999,63.400002,57.903698,1086700,367
2015-08-14,63.470001,64.279999,63.169998,64.080002,58.524746,782400,368
2015-08-17,63.779999,64.5,63.490002,64.449997,58.862663,615400,369
